relative_path,sheet,rows,columns,file_size_bytes,best_cotc_source,cotc_nonempty,unique_cotc,selected186_overlap,selected186_missing,selected186_overlap_fraction,parent_candidate
data/external_parent_trial/42003_2023_5208_MOESM4_ESM.xlsx,Figure S7,39,12,115541,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/four_cohort_variable_only_1500/mofa_k16_factor_activity.csv,__table__,39,16,10178,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/three_cohort_no_ffpe_variable_only_1500/mofa_k16_factor_activity.csv,__table__,39,15,9641,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/three_cohort_no_ffpe_variable_only_1500/mofa_k16_r2.csv,__table__,39,4,1574,__index__,0,0,0,186,0.0,False
data/processed/human_validation/GSE39055_clinical_standardized.csv,__table__,37,15,92970,geo_sample_id,0,0,0,186,0.0,False
results/tables/Ammons_scRNA_dog_compartment_scores.csv,__table__,37,31,13234,__index__,0,0,0,186,0.0,False
results/tables/GSE39055_GEO_phenotype_raw.csv,__table__,37,42,49761,__index__,0,0,0,186,0.0,False
results/tables/GSE39055_necrosis_M40_leave_one_out.csv,__table__,37,3,1852,sample_removed,0,0,0,186,0.0,False
results/tables/GSE39055_sample_assay_quality.csv,__table__,37,11,5847,geo_sample_id,0,0,0,186,0.0,False
results/tables/multigroup_mofa_alignment_README.txt,__table__,37,1,1848,__index__,0,0,0,186,0.0,False
results/tables/Paper4_final_manuscript_assets_README.txt,__table__,37,1,1615,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_nested_cv_method_vs_random_percentile_summary.csv,__table__,36,10,5230,__index__,0,0,0,186,0.0,False
results/tables/human_external_validation_score_variant_sensitivity.csv,__table__,36,34,11915,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_fits/four_cohort_detection_aware/mofa_k16_r2.csv,__table__,36,4,1457,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_README.txt,__table__,36,1,1537,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_README.txt,__table__,36,1,1662,__index__,0,0,0,186,0.0,False
results/tables/Ammons_scRNA_preflight_README.txt,__table__,35,1,1185,__index__,0,0,0,186,0.0,False
